Question_no,signal1,bag1,bag1_ado_id,bag1_start_absolute,bag1_end_absolute,bag1_start_sim,bag1_end_sim,signal2,bag2,bag2_ado_id,bag2_start_absolute,bag2_end_absolute,bag2_start_sim,bag2_end_sim
0,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999
1,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333
4,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333
5,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999
6,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0
7,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5
8,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999
10,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0
11,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
12,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
14,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
15,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
16,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
17,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
19,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
20,0,data/overtake/split/bag_M0,1000125,1689289277.3354251,1689289288.7248054,434.108333333,445.5,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
21,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333
24,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333
25,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999
26,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0
27,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5
28,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999
30,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0
31,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
32,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
34,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
35,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
36,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
37,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
39,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
40,1,data/overtake/split/bag_M1,1000126,1689289318.8153431,1689289324.7402954,475.524999999,481.449999999,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
43,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333
44,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999
45,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0
46,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5
47,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999
49,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0
50,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
51,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
53,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
54,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
55,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
56,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
58,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
59,2,data/overtake/split/bag_M2,1000127,1689289332.09937,1689289344.2287898,488.691666666,500.808333333,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
95,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999
96,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0
97,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5
98,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999
100,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0
101,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
102,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
104,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
105,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
106,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
107,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
109,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
110,5,data/overtake/split/bag_M5,1000130,1689289463.910966,1689289471.6494863,620.233333333,627.958333333,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
111,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0
112,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5
113,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999
115,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0
116,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
117,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
119,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
120,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
121,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
122,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
124,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
125,6,data/overtake/split/bag_M6,1000131,1689289492.026406,1689289498.5516896,648.274999999,654.799999999,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
126,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5
127,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999
129,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0
130,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
131,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
133,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
134,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
135,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
136,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
138,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
139,7,data/overtake/split/bag_M7,1000132,1689289511.1360555,1689289521.8765376,667.258333333,678.0,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
140,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999
142,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0
143,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
144,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
146,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
147,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
148,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
149,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
151,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
152,8,data/overtake/split/bag_M8,1000133,1689289549.5415916,1689289554.4763205,705.566666666,710.5,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
154,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0
155,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
156,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
158,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
159,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
160,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
161,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
163,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
164,9,data/overtake/split/bag_M9,1000134,1689289561.4090374,1689289575.4072025,717.299999999,731.299999999,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
176,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5
177,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
179,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
180,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
181,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
182,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
184,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
185,11,data/overtake/split/bag_M11,1000126,1689287356.0370624,1689287374.8369002,1061.2,1080.0,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
186,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95
188,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
189,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
190,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
191,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
193,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
194,12,data/overtake/split/bag_M12,1000127,1689287397.9374988,1689287404.4024866,1103.033333333,1109.5,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
196,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999
197,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
198,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
199,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
201,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
202,13,data/overtake/split/bag_M13,1000128,1689287414.4769855,1689287422.9687243,1119.458333333,1127.95,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
210,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999
211,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
212,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
214,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
215,15,data/overtake/split/bag_M15,1000130,1689287482.0847545,1689287497.018302,1186.916666666,1201.849999999,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
216,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333
217,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
219,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
220,16,data/overtake/split/bag_M16,1000131,1689287515.124072,1689287524.3333418,1219.891666666,1229.099999999,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
221,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9
223,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
224,17,data/overtake/split/bag_M17,1000132,1689287542.8231454,1689287547.764152,1247.533333333,1252.458333333,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
226,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999
227,18,data/overtake/split/bag_M18,1000133,1689287564.0807445,1689287577.25508,1268.724999999,1281.9,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
230,20,data/overtake/split/bag_M20,1000135,1689287673.8520277,1689287678.0702848,1378.333333333,1382.549999999,21,data/overtake/split/bag_M21,1000136,1689287708.1424773,1689287726.5842853,1412.558333333,1431.0
