,Question_no,signal1,bag1,bag1_ado_id,bag1_start_absolute,bag1_end_absolute,signal2,bag2,bag2_ado_id,bag2_start_absolute,bag2_end_absolute
0,0,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508
1,1,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883
2,2,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303
3,3,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006
4,4,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442
5,5,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188
6,6,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851
7,7,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
8,8,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
9,9,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
10,10,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
11,11,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
12,12,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
13,13,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
14,14,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287215.0345562
15,15,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288886.9295137,1689288902.9134576,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287272.2912226
16,16,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883
17,17,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303
18,18,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006
19,19,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442
20,20,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188
21,21,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851
22,22,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
23,23,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
24,24,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
25,25,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
26,26,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
27,27,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
28,28,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
29,29,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287215.0345562
30,30,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288939.1629508,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287272.2912226
31,31,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303
32,32,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006
33,33,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442
34,34,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188
35,35,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851
36,36,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
37,37,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
38,38,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
39,39,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
40,40,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
41,41,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
42,42,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
43,43,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287215.0345562
44,44,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288969.71883,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287272.2912226
45,45,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006
46,46,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442
47,47,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188
48,48,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851
49,49,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
50,50,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
51,51,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
52,52,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
53,53,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
54,54,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
55,55,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
56,56,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287215.0345562
57,57,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689288998.8009303,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287272.2912226
58,58,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442
59,59,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188
60,60,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851
61,61,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
62,62,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
63,63,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
64,64,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
65,65,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
66,66,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
